City_ID,City,Country,Max Temp,Weather Type,Lat,Lng,Hotel Name
299,Bhindar,IN,82.65,broken clouds,24.5,74.1833,Hotel Rajmahal Bhindar
300,Dong Hoi,VN,84.2,overcast clouds,17.4833,106.6,Nam Long Hotel
302,Vizianagaram,IN,87.31,overcast clouds,18.1167,83.4167,Anupriya Residency
308,Fuyang,CN,90.75,clear sky,32.9,115.8167,Fuyang Wanda Realm Hotel
309,Sakakah,SA,80.17,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
311,Adre,TD,76.23,overcast clouds,13.4667,22.2, 
312,Araouane,ML,92.07,clear sky,18.9048,-3.5265, 
313,Kokopo,PG,85.57,clear sky,-4.352,152.2633,Kokopo Beach Bungalow Resort
315,Ciudad Bolivar,VE,75.29,overcast clouds,8.1222,-63.5497,Hotel Edi
318,Kiunga,PG,82.58,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
319,Chunhuhub,MX,77.02,overcast clouds,19.55,-88.6833, 
331,Tamandare,BR,75.94,broken clouds,-8.7597,-35.1047,Pousada 100 Passos
335,Sidi Ali,DZ,75.06,overcast clouds,36.0998,0.4206,Complexe touristique haje bezine
336,Laguna,US,89.56,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
340,Namatanai,PG,84.07,light rain,-3.6667,152.4333,Seagulls Inn Namatani
341,Les Cayes,HT,76.96,broken clouds,18.2,-73.75,Villa Orphee
346,Acapulco,MX,82.22,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
348,Riyadh,SA,86.14,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
349,Kampot,KH,86.05,overcast clouds,10.6167,104.1833,Two Moons Hotel
350,Pointe Michel,DM,80.78,overcast clouds,15.25,-61.3833,Castle Comfort Lodge Dive Dominica
356,Karaton,ID,81.5,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
357,Buala,SB,83.43,light rain,-8.145,159.5921,Maringe Lagoon Lodge
359,Ocala,US,81.18,light rain,29.1872,-82.1401,Golden Palms Inn & Suites
364,Manokwari,ID,83.71,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
366,Mlonggo,ID,83.3,light rain,-6.5333,110.7,Asia Metal Art
368,Wattegama,LK,78.26,overcast clouds,6.7989,81.4808, 
371,Karratha,AU,79.32,clear sky,-20.7377,116.8463,ibis Styles Karratha
372,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
380,San Patricio,US,84.83,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
384,Najran,SA,75.85,few clouds,17.4924,44.1277,محمد هادي ال فطيح
387,Houma,US,84.0,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
389,Bolivar,US,83.95,clear sky,37.6145,-93.4105,Comfort Inn Bolivar
391,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
392,Kaohsiung,TW,89.55,broken clouds,22.6163,120.3133,御宿商旅-中山館
393,Vostok,RU,75.76,overcast clouds,46.4856,135.8833, 
394,Mitsamiouli,KM,77.04,clear sky,-11.3847,43.2844,Foyer ADM
398,Kongoussi,BF,88.45,overcast clouds,13.3258,-1.5347,Hôtel La Sagesse
399,Kudahuvadhoo,MV,82.83,few clouds,2.6708,72.8944,Niyama Private Islands Maldives
403,Daru,PG,80.92,few clouds,-9.0763,143.2092,Daru Lodge
405,Totness,SR,76.91,broken clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
407,Barentu,ER,80.13,overcast clouds,15.1139,37.5928, 
410,Havelock,US,84.15,overcast clouds,34.8791,-76.9013,Sherwood Motel
412,Nong Chik,TH,81.97,overcast clouds,6.8436,101.178,Bakkahland Farm and Resort
414,Habra,IN,90.97,overcast clouds,22.8344,88.6275,HOTEL RAJNANDINI
416,Jambi,ID,81.54,overcast clouds,-1.6,103.6167,ASTON Jambi Hotel & Conference Center
419,Salalah,OM,84.29,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
422,Bellmead,US,90.09,clear sky,31.594,-97.1089,Hampton Inn Waco
425,Estelle,US,87.01,scattered clouds,29.8458,-90.1067,Boomtown Casino & Hotel New Orleans
427,Nawabshah,PK,85.96,haze,26.2483,68.4096,Al karim hotel
433,Pemangkat,ID,82.4,broken clouds,1.1667,108.9667,Ramah Kost KITA
434,Hit,IQ,82.2,clear sky,33.6416,42.8251,ࢪُبَمـا ؏ُـمَـࢪ
440,Port Hedland,AU,78.85,clear sky,-20.3167,118.5667,The Esplanade Hotel
442,Duki,PK,83.19,clear sky,30.1541,68.5728,ماسٹر رشید مرحوم
445,Saint-Georges,GD,78.48,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
451,Kandi,BJ,77.43,broken clouds,11.1342,2.9386,Hébergement de la Poste
453,Veraval,IN,85.55,scattered clouds,20.9,70.3667,Lords Inn Somnath
454,Cartagena,CO,78.42,broken clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
457,Dhidhdhoo,MV,82.42,broken clouds,6.8833,73.1,Dhidhoo beach
458,Kaka,TM,89.06,broken clouds,37.3482,59.6143, 
461,Tongzi,CN,85.68,broken clouds,28.7829,105.0877,Jiayuan Hotel
465,Bac Lieu,VN,87.06,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
469,Predivinsk,RU,79.47,overcast clouds,57.0669,93.4378, 
472,Mount Isa,AU,76.77,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
473,Gizo,SB,84.56,broken clouds,-8.103,156.8419,Imagination Island
479,Mastung,PK,80.24,clear sky,29.7994,66.845,Al Hasnan Cold Drink Santer
484,Tenenkou,ML,88.03,broken clouds,14.4572,-4.9169, 
486,Kavieng,PG,84.43,light rain,-2.5744,150.7967,Nusa Island Retreat
489,Iralaya,HN,78.98,overcast clouds,15.0,-83.2333,Iglesia morava renovada
490,Polewali,ID,84.56,overcast clouds,-3.4324,119.3435,Lilianto Hotel
492,Auki,SB,84.6,light rain,-8.7676,160.7034,Auki Motel
497,Bilma,NE,86.77,clear sky,18.6853,12.9164,Expeditions Ténére voyages
498,Banjar,ID,85.8,broken clouds,-8.19,114.9675,The Hamsa Resort
503,Kapit,MY,89.53,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
