City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Type
113,Port Lincoln,AU,-34.7333,135.8667,61.63,70,9,21.14,clear sky
114,Ancud,CL,-41.8697,-73.8203,48.22,90,81,5.03,light rain
115,Eenhana,NA,-17.4667,16.3333,51.01,47,0,3.29,clear sky
116,Umm Lajj,SA,25.0213,37.2685,80.56,51,0,7.23,clear sky
117,Guerrero Negro,MX,27.9769,-114.0611,64.96,76,0,17.92,clear sky
118,Turukhansk,RU,65.8167,87.9833,67.57,63,83,4.05,broken clouds
119,Norrtalje,SE,59.758,18.705,54.01,84,34,5.46,scattered clouds
120,Nemuro,JP,43.3236,145.575,54.95,76,47,16.35,scattered clouds
121,Castro,BR,-24.7911,-50.0119,45.7,96,64,4.68,broken clouds
122,Mahebourg,MU,-20.4081,57.7,72.25,83,40,10.36,scattered clouds
123,Hobart,AU,-42.8794,147.3294,49.26,92,75,1.01,broken clouds
124,Prince Rupert,CA,54.3161,-130.3201,57.29,79,0,5.75,clear sky
125,Bengkulu,ID,-3.8004,102.2655,80.38,76,54,3.02,broken clouds
126,Victoria,HK,22.2855,114.1577,85.03,86,100,4.0,overcast clouds
127,Goundam,ML,16.4145,-3.6708,95.81,17,9,12.19,clear sky
128,Bethel,US,41.3712,-73.414,70.65,75,0,3.44,clear sky
129,Fairbanks,US,64.8378,-147.7164,75.02,43,0,4.61,smoke
130,Abadan,IR,30.3392,48.3043,91.35,22,0,9.22,smoke
131,Avera,US,33.194,-82.5271,77.38,65,62,5.23,broken clouds
132,Pacific Grove,US,36.6177,-121.9166,71.82,68,0,8.05,clear sky
133,Ayorou,NE,14.7308,0.9174,91.63,40,100,16.67,overcast clouds
134,Hervey Bay,AU,-25.2986,152.8535,69.87,62,48,2.64,scattered clouds
135,Srednekolymsk,RU,67.45,153.6833,72.93,22,4,2.71,clear sky
136,Thunder Bay,CA,48.4001,-89.3168,57.29,76,75,11.5,broken clouds
137,Saint-Philippe,RE,-21.3585,55.7679,67.59,84,43,12.01,light rain
138,Dali,CN,25.7,100.1833,58.71,94,100,2.82,overcast clouds
139,Fallingbostel,DE,52.8667,9.7,49.98,89,84,4.05,broken clouds
140,Havoysund,NO,70.9963,24.6622,43.03,86,100,10.58,overcast clouds
141,Kentville,CA,45.0835,-64.4988,56.41,95,100,9.22,light rain
142,Ribeira Grande,PT,38.5167,-28.7,64.92,96,95,10.63,overcast clouds
143,Terra Boa,BR,-23.7681,-52.4442,50.31,88,11,6.2,few clouds
144,San Luis,AR,-33.295,-66.3356,46.67,41,15,5.3,few clouds
145,Korla,CN,41.7597,86.1469,90.59,12,6,9.66,clear sky
146,Pangnirtung,CA,66.1451,-65.7125,34.65,91,96,2.15,overcast clouds
147,Katsuura,JP,35.1333,140.3,64.42,88,100,13.56,overcast clouds
148,Aklavik,CA,68.2191,-135.0107,62.82,32,49,8.75,scattered clouds
149,Dandong,CN,40.1292,124.3947,70.45,53,98,5.14,overcast clouds
150,Bambous Virieux,MU,-20.3428,57.7575,72.21,83,40,10.36,scattered clouds
151,Rajshahi,BD,24.3667,88.6,89.2,65,99,15.26,overcast clouds
152,Port Elizabeth,ZA,-33.918,25.5701,55.09,77,0,19.57,clear sky
153,Lida,BY,53.8833,25.2997,46.02,97,15,11.01,few clouds
154,Sistranda,NO,63.7256,8.834,51.76,89,100,11.34,light rain
155,Hualmay,PE,-11.0964,-77.6139,61.32,81,22,10.6,few clouds
156,Kasamwa,TZ,-2.85,32.4333,63.16,68,5,3.89,clear sky
157,Chaman,PK,30.9236,66.4512,81.64,16,0,4.97,clear sky
158,Rocha,UY,-34.4833,-54.3333,49.12,93,37,5.91,scattered clouds
159,Narsaq,GL,60.9167,-46.05,46.62,59,100,3.42,overcast clouds
160,Yellowknife,CA,62.456,-114.3525,72.12,40,75,14.97,broken clouds
