City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
52,Umm Kaddadah,SD,2022-06-09 12:53:48,13.6017,26.6876,93.15,30,100,7.63
53,Bethel,US,2022-06-09 12:53:50,41.3712,-73.414,71.89,97,100,1.99
54,Kloulklubed,PW,2022-06-09 12:53:51,7.0419,134.2556,75.7,69,95,10.87
55,Quatre Cocos,MU,2022-06-09 12:53:53,-20.2078,57.7625,73.51,72,100,18.99
56,Sangar,RU,2022-06-09 12:53:54,63.9242,127.4739,62.04,62,0,3.69
57,Port Alfred,ZA,2022-06-09 12:53:55,-33.5906,26.891,67.17,77,36,5.99
58,Calabozo,VE,2022-06-09 12:53:56,8.9242,-67.4293,81.63,64,36,10.22
59,Fairbanks,US,2022-06-09 12:50:46,64.8378,-147.7164,46.4,64,0,9.22
60,Gobabis,NA,2022-06-09 12:53:58,-22.45,18.9667,69.89,16,0,13.71
61,Khatanga,RU,2022-06-09 12:53:59,71.9667,102.5,54.39,48,75,12.71
62,Gat,IL,2022-06-09 12:54:00,31.61,34.7642,95.77,28,0,13.47
63,Atar,MR,2022-06-09 12:54:01,20.5169,-13.0499,104.05,12,6,11.5
64,Margate,GB,2022-06-09 12:54:02,51.3813,1.3862,68.7,58,55,1.01
65,Bonavista,CA,2022-06-09 12:54:03,48.6499,-53.1147,44.98,77,100,13.02
66,Paamiut,GL,2022-06-09 12:54:04,61.994,-49.6678,37.99,83,100,10.65
67,Avarua,CK,2022-06-09 12:54:05,-21.2078,-159.775,73.45,73,21,4.61
68,Anaco,VE,2022-06-09 12:54:06,9.4389,-64.4728,83.84,55,35,11.43
69,Georgetown,MY,2022-06-09 12:54:08,5.4112,100.3354,85.98,74,20,7.0
70,Albany,US,2022-06-09 12:54:09,42.6001,-73.9662,61.27,93,100,2.77
71,Oranjemund,NA,2022-06-09 12:54:11,-28.55,16.4333,66.65,53,6,12.17
72,Urdoma,RU,2022-06-09 12:54:12,61.7533,48.5442,76.01,29,94,2.64
73,Kodiak,US,2022-06-09 12:54:13,57.79,-152.4072,48.34,86,4,6.04
74,Souillac,MU,2022-06-09 12:54:14,-20.5167,57.5167,73.78,73,75,12.66
75,Launceston,AU,2022-06-09 12:54:15,-41.45,147.1667,48.79,81,40,10.36
76,Bilgi,IN,2022-06-09 12:54:16,16.35,75.6167,91.13,40,58,18.07
77,Pemba,MZ,2022-06-09 12:54:18,-12.974,40.5178,83.1,61,75,14.97
78,Shaunavon,CA,2022-06-09 12:54:19,49.6501,-108.4181,51.58,72,95,7.49
79,Dikson,RU,2022-06-09 12:54:20,73.5069,80.5464,32.72,85,26,4.68
80,Vanimo,PG,2022-06-09 12:54:21,-2.6741,141.3028,77.97,82,76,2.37
81,Port Lincoln,AU,2022-06-09 12:54:22,-34.7333,135.8667,54.61,70,100,8.39
82,Mandiana,GN,2022-06-09 12:54:23,10.6333,-8.6833,99.5,30,10,2.66
83,Barrow,US,2022-06-09 12:54:24,71.2906,-156.7887,28.42,93,100,10.36
